health,health_to_time,time_elapsed,damaged_last_wave,avg_wave_damage,factor_difference,current_difficulty,agent_action,agent_reward
0.85,0.0607175076987741,13.99925708770752,0.15,0.15,0.0,0.701417634331657,-0.2985823656683429,0.0722263495127359
0.6395747097005028,0.0220516951358446,29.00342607498169,0.2104252902994972,0.1802126451497486,0.2985823656683429,0.2140706061311383,-0.4873470282005187,0.1992951454384878
0.5967605884742752,0.0135646069904929,43.99394607543945,0.0428141212262276,0.1344131371752416,0.7859293938688616,0.2140706061311383,0.0,-0.1588285999955057
0.5753535278611613,0.0097521264477542,58.997750997543335,0.0214070606131138,0.1061616180347096,0.7859293938688616,0.2140706061311383,0.0,-0.0968811888191535
0.5646499975546044,0.0076302222367966,74.00177609920502,0.0107035303065569,0.0870700004890791,0.7859293938688616,0.2140706061311383,0.0,-0.0242290241164788
0.5325394066349337,0.0059840475252515,88.99317800998688,0.0321105909196707,0.0779100988941777,0.7859293938688616,0.2140706061311383,0.0,0.0269459511348607
0.500428815715263,0.0048118032251353,104.00026607513428,0.0321105909196707,0.0713673120406767,0.7859293938688616,0.2140706061311383,0.0,0.0782080716882311
0.4469111641824784,0.0037553901013229,119.0052570104599,0.0535176515327845,0.0691361044771902,0.7859293938688616,0.2258528254465469,0.0117822193154085,0.1080514809072556
0.4130332403654964,0.0030824470179313,133.99524402618408,0.033877923816982,0.0652185288482781,0.774147174553453,0.368050024710621,0.142197199264074,0.1574512627331857
0.30261823295231,0.002030993038617,149.00013303756714,0.1104150074131863,0.0697381767047689,0.631949975289379,0.368050024710621,0.0,0.130396749827683
0.2106057267746547,0.0012841558751278,164.00324201583862,0.0920125061776552,0.0717631157477586,0.631949975289379,0.3409149648634623,-0.0271350598471586,-0.1217348490848693
0.1594684820451354,0.000890928940193,178.99124705791473,0.0511372447295193,0.0700442931629053,0.6590850351365377,0.3409149648634623,0.0,0.1538642990335506
0.0742397408292698,0.0003826921431735,193.9933760166168,0.0852287412158656,0.0712123276285177,0.6590850351365377,0.6123116711529993,0.271396706289537,0.0742397408292698
0.0130085737139698,6.224215071708411e-05,208.9994250535965,0.0612311671152999,0.0704993875918593,0.3876883288470006,0.2977524500359739,-0.3145592211170254,-0.0130085737139698
0.9,0.0642788359767052,14.001498103141785,0.0999999999999999,0.0999999999999999,0.0,1.0755185924928137,0.0755185924928137,-0.02221389942699
0.6311203518767964,0.0217694201603056,28.99114203453064,0.2688796481232036,0.1844398240616018,-0.0755185924928136,1.1894707029795295,0.1139521104867158,-0.2078177479313667
0.45,0.0321666031905311,13.989664912223816,0.5499999999999999,0.5499999999999999,0.0,0.9716608428016018,-0.0283391571983982,0.4722796393765343
0.0613356628793593,0.0021147928617755,29.003153920173645,0.3886643371206407,0.4693321685603203,0.0283391571983981,0.9544748400140012,-0.0171860027876006,0.7775357042307871
0.7613812899964997,0.0543708393732068,14.003486037254332,0.2386187100035003,0.2386187100035003,0.0455251599859988,1.012759825546683,0.0582849855326816,-0.1608215653520873
